accession	organism	length	identity_to_query	query_coverage
F6TY81	Macaca mulatta	512	0.8970	0.9725
A0A8C9DF51	Prolemur simus	511	0.7069	0.9921
A0A452SSU5	Ursus americanus	522	0.6902	0.9194
A0A8D2CPA6	Sciurus vulgaris	453	0.6848	0.8664
A0A8C6B8A5	Monodon monoceros	435	0.6748	0.8035
A0ABM1CMD7	Ceratotherium simum simum	572	0.6728	0.9548
A0A8B9YJP6	Bos grunniens	487	0.6603	0.9194
A0A671F8K1	Rhinolophus ferrumequinum	504	0.6591	0.9568
Q7YS45	Bos taurus	474	0.6547	0.9273
A0A5N3V3M6	Muntiacus muntjak	512	0.6537	0.9587
A0A5E4BWH6	Marmota monax	554	0.6536	0.9528
A0A8B8TCB5	Camelus ferus	478	0.6474	0.9194
A0A2Y9E5K1	Trichechus manatus latirostris	611	0.6448	0.9568
A0A8C8WWH9	Panthera leo	493	0.6423	0.9666
A0A6P3Q1M8	Pteropus vampyrus	538	0.6409	0.9411
Q29152	Vulpes vulpes	540	0.6303	0.9194
A0A8C6G9H9	Mus spicilegus	526	0.6212	0.9646
A0ABN8YLJ4	Rangifer tarandus platyrhynchus	566	0.6187	0.9686
A0A1S3AA85	Erinaceus europaeus	597	0.6151	0.9646
A0A1S3AA39	Erinaceus europaeus	561	0.6013	0.9214
G1PL78	Myotis lucifugus	503	0.6012	0.9607
A0ABM1VJJ7	Echinops telfairi	501	0.6000	0.7760
A0A8C6ZZT3	Neogale vison	501	0.5952	0.9804
A0A6P5PYE7	Mus caroli	512	0.5809	0.9234
A0A7K4ZNA2	Centropus unirufus	488	0.5543	0.8684
A0A8C3F9M5	Chrysemys picta bellii	520	0.5534	0.9018
A0ABM1AUS8	Microtus ochrogaster	500	0.5522	0.9214
A0A7K6Q7E4	Climacteris rufus	488	0.5506	0.8743
A0A851NCX8	Penelope pileata	488	0.5483	0.8743
A0A8C3S1L4	Chelydra serpentina	494	0.5473	0.8723
A0A8C4KCK4	Dromaius novaehollandiae	571	0.5345	0.8821
A0A3B4XSC4	Seriola lalandi dorsalis	496	0.4947	0.7348
A0A6J2S4I1	Cottoperca gobio	418	0.4918	0.7151
A0A8C4X480	Erpetoichthys calabaricus	473	0.4913	0.7878
A0A6J3ENM7	Aythya fuligula	478	0.4861	0.7760
A0A8D0BT80	Salvator merianae	501	0.4859	0.7682
A0A9D3PB59	Megalops atlanticus	478	0.4856	0.8212
A0A8C8VQ09	Pelusios castaneus	432	0.4854	0.7407
A0A3Q2QYP9	Fundulus heteroclitus	421	0.4819	0.7053
H2ZZ86	Latimeria chalumnae	485	0.4810	0.7760
A0ABS2XP07	Polyodon spathula	487	0.4804	0.8507
A0A8C4ETZ7	Dicentrarchus labrax	482	0.4790	0.8409
A0ACB8WG60	Scortum barcoo	608	0.4786	0.7800
A0A7K7PDW7	Acrocephalus arundinaceus	429	0.4759	0.7760
A0A662YLH0	Acipenser ruthenus	458	0.4758	0.8134
A0A452H8C4	Gopherus agassizii	452	0.4736	0.7800
A0A6P8TEQ5	Gymnodraco acuticeps	435	0.4721	0.7407
A0A6P7JDR8	Parambassis ranga	439	0.4710	0.7800
A0A8B9NQC3	Apteryx owenii	465	0.4710	0.8134
A0A671Z2I3	Sparus aurata	680	0.4700	0.7859
A0A667YNH7	Myripristis murdjan	485	0.4690	0.8251
A0A1L8GZ06	Xenopus laevis	484	0.4684	0.7760
A0A3Q1GWD9	Acanthochromis polyacanthus	468	0.4670	0.7741
A0A9Y4NIU5	Stegastes partitus	540	0.4660	0.8094
A0A673NCG0	Sinocyclocheilus rhinocerous	486	0.4658	0.7760
A0A3B3SM36	Paramormyrops kingsleyae	447	0.4653	0.7937
A0AAN7XUI2	Eleginops maclovinus	478	0.4653	0.7937
A0A3Q4H725	Neolamprologus brichardi	464	0.4649	0.8114
A0A8J4K993	Eudyptula minor	471	0.4647	0.8075
A0A7K4JQW1	Geococcyx californianus	472	0.4642	0.7957
A0A9Q1JCJ6	Synaphobranchus kaupii	443	0.4641	0.7662
A0A401PFW4	Scyliorhinus torazame	501	0.4638	0.7878
A0A8C9FSY4	Pavo cristatus	478	0.4632	0.8016
L0MX76	Mus musculus	481	0.4631	0.7976
A0A146NMR9	Fundulus heteroclitus	441	0.4625	0.7859
A0A3B3XSM6	Poecilia mexicana	499	0.4625	0.7859
A0A6P7ZB40	Microcaecilia unicolor	484	0.4625	0.8114
A0A8C9SUY4	Scleropages formosus	498	0.4623	0.7819
A0A3B3U7M6	Poecilia latipinna	479	0.4619	0.7741
A0AAV2KUY4	Knipowitschia caucasica	477	0.4608	0.8271
A0ABD0W980	Umbra pygmaea	492	0.4608	0.7760
A0AAV6QSJ2	Solea senegalensis	468	0.4604	0.7937
A0A7J7FHT3	Diceros bicornis minor	481	0.4603	0.8409
W5K007	Astyanax mexicanus	441	0.4597	0.7308
A0A7K7SK60	Sapayoa aenigma	471	0.4596	0.7780
A0A4W4GI42	Electrophorus electricus	458	0.4593	0.8212
A0ABV0WIC8	Xenotaenia resolanae	438	0.4585	0.7583
A0A7K5U942	Cephalopterus ornatus	469	0.4584	0.7800
A0AAY5EVN9	Electrophorus electricus	447	0.4583	0.7544
A0A087YG09	Poecilia formosa	495	0.4582	0.7760
A0A3Q1FGB7	Acanthochromis polyacanthus	443	0.4582	0.7760
A0A3B3XV02	Poecilia mexicana	451	0.4575	0.7859
