uniref90_cluster	length	percent_identity_to_query
UniRef90_P38568	510	89.6
UniRef90_UPI0030FE8D09	509	88.4
UniRef90_F7GMG1	509	87.3
UniRef90_A0A1U7UTM5	521	71.7
UniRef90_A0ABD2EFB5	516	72.7
UniRef90_A0A8B7I1M8	516	70.5
UniRef90_A0A1U7SWH1	475	75.1
UniRef90_A0A1U7T5D5	515	70.2
UniRef90_UPI000643F732	514	69.6
UniRef90_UPI00063F5278	515	69.2
UniRef90_UPI003F6CF84D	512	69.2
UniRef90_UPI003F6BA1A8	515	68.4
UniRef90_A0ABM0RTA4	534	68.9
UniRef90_H0WG49	467	73.3
UniRef90_UPI00063F8241	515	67.8
UniRef90_A0A8C8YJ47	493	69.8
UniRef90_UPI0037424D2E	515	66.3
UniRef90_P38566	545	70.8
UniRef90_G1T1B3	527	69.4
UniRef90_H0WG47	468	73.0
UniRef90_A0AC58L2W0	528	67.4
UniRef90_A0A2U3W8C1	540	67.7
UniRef90_UPI0025997931	578	65.1
UniRef90_A0ABM0SBP5	479	66.5
UniRef90_A0A8C9PLD2	518	65.2
UniRef90_I3M0R0	522	65.4
UniRef90_UPI000703DEBE	477	67.9
UniRef90_A0A8D2B8F3	556	68.0
UniRef90_A0A8C6F5Z3	554	66.8
UniRef90_A0A1S3FFT8	524	66.7
UniRef90_A0A340YEF7	554	66.8
UniRef90_A0A671F8K1	504	65.0
UniRef90_A0ABM1CMD7	572	65.0
UniRef90_A0A8B7Q0P4	504	64.0
UniRef90_A0A8C3YDG5	491	65.0
UniRef90_UPI003F6B1178	515	62.6
UniRef90_UPI003D7B6B14	519	69.7
UniRef90_UPI001B353E65	525	66.2
UniRef90_A0A6P6DGS8	532	65.3
UniRef90_UPI0027144E63	525	63.8
UniRef90_UPI00255CD36D	479	66.3
UniRef90_A0A8C8YSG6	424	73.6
UniRef90_F1MZM9	550	63.7
UniRef90_A0ABM4P5W6	569	62.6
UniRef90_UPI004053F481	562	64.2
UniRef90_A0A8C2V091	529	64.5
UniRef90_UPI002598CBD8	553	62.8
UniRef90_UPI0018A01DE5	563	63.9
UniRef90_A0A8C9PDR2	491	64.9
UniRef90_A0A8C5KGA4	521	64.9
UniRef90_A0A9V1FSB8	530	65.5
UniRef90_A0A6J0X9P6	550	66.2
UniRef90_UPI0018A10080	548	63.7
UniRef90_UPI003605255F	639	63.0
UniRef90_A0A452ENX6	550	63.1
UniRef90_A0A8C9CWY4	532	66.3
UniRef90_UPI00235A4FBD	507	60.6
UniRef90_K9IYB4	508	60.3
UniRef90_A0AAU9YVE3	526	64.5
UniRef90_A0ABM0LGM8	526	64.0
UniRef90_A0A6G1ALM5	529	62.5
UniRef90_A0A8B7ABX1	579	63.2
UniRef90_A0A8C8YR82	469	72.0
UniRef90_UPI0024535EA3	527	63.8
UniRef90_A0A8I3MQH3	541	63.3
UniRef90_A0A452SSJ2	519	67.0
UniRef90_UPI00405425B6	521	63.3
UniRef90_UPI002019E140	557	63.5
UniRef90_A0A8C8YSC1	443	72.3
UniRef90_A0A6J0AF40	479	65.1
UniRef90_A0AC58L2W5	529	64.8
UniRef90_A0A2Y9E5K1	611	62.8
UniRef90_UPI00062A7BD5	489	63.0
UniRef90_UPI00187A2875	508	59.9
UniRef90_UPI0023EE1CE4	508	59.6
UniRef90_UPI0003C909FE	523	59.2
UniRef90_A0A8C6W664	526	60.4
UniRef90_UPI002243080E	526	60.4
UniRef90_UPI0021E326A0	528	62.3
UniRef90_A0A5N3XP03	554	61.4
UniRef90_UPI00081A27E9	527	62.6
UniRef90_A0A6J0E232	526	62.8
UniRef90_UPI0040541F2A	561	63.5
UniRef90_Q812F3	526	60.6
UniRef90_A0A6P3GUF9	554	61.6
UniRef90_A0A8C6FTH3	543	63.3
UniRef90_F1MTV1	553	61.7
UniRef90_A0A9J7J7F0	526	62.3
UniRef90_A0A6J0VKV4	554	61.0
UniRef90_A0A1U7R2I2	526	61.7
UniRef90_A0A6J2ML87	508	58.8
UniRef90_P23613	529	60.0
UniRef90_UPI00109FC30D	526	62.1
UniRef90_UPI0026602978	547	63.6
UniRef90_A0A1S3AA85	597	61.1
UniRef90_A0A8D2B9L0	477	69.8
UniRef90_H0XQH5	472	64.5
UniRef90_UPI0006432633	493	62.4
UniRef90_UPI00265E0DCA	517	62.0
UniRef90_A0A8C9DF82	467	65.4
UniRef90_A0A8D2I3B8	440	69.1
UniRef90_UPI00265FE6EE	597	61.5
UniRef90_A0A7J8D909	504	59.8
UniRef90_A0A8C6B8H9	436	68.3
UniRef90_UPI0024046ADE	499	58.4
